RS_Num,River,ReleaseSite,Date,Time,UTM_X,UTM_Y,Species,Length,Weight,TagType,TagID,QAQC,TagSize,Ant,Event,FinClip,Mortality,Comments
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,122,21,HA,226001581502,,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,127,25,HA,226001581509,pass,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,97,10,HA,226001581521,pass,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,119,25,HA,226001581522,,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,112,12,HA,226001581525,pass,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,82,4,HA,226001581529,,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,89,14,HA,226001581554,,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,81,3,HA,226001581558,,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,90,7,HA,226001581570,,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,126,26,HA,226001581571,,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,82,4,HA,226001581579,pass,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,85,9,HA,226001581580,,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,125,34,HA,226001581582,pass,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,117,30,HA,226001581589,,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,87,5,HA,226001581592,pass,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,133,34,HA,226001581602,,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,90,9,HA,226001581607,,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,88,6,HA,226001581627,,12,Handheld,Release,left pelvic + adp,1,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,93,19,HA,226001581628,,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,111,18,HA,226001581629,,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,91,8,HA,226001581631,,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,77,6,HA,226001581633,,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,79,9,HA,226001581636,,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,98,20,HA,226001581637,,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,98,9,HA,226001581643,pass,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,88,4,HA,226001581648,,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,83,6,HA,226001581656,,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,116,25,HA,226001581659,,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,85,6,HA,226001581661,,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,89,7,HA,226001581672,,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,97,15,HA,226001581680,,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,93,20,HA,226001581681,,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,90,10,HA,226001581683,,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,92,8,HA,226001581684,,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,87,10,HA,226001581690,,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,82,2,HA,226001581694,,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,97,10,HA,226001581696,,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,89,7,HA,226001581698,,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,73,6,HA,226001581699,,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,81,6,HA,226001581700,pass,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,87,3,HA,226001581711,,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,102,7,HA,226001581715,,12,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,131,27,HA,226001581717,,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,119,25,HA,226001581734,pass,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,124,19,HA,226001581739,,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,120,20,HA,226001581742,pass,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,,,,HA,226001581743,,12,Handheld,Release,,0,"no release information, but tag was detected with mobile antenna"
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,MTS,87,12,HA,226001581744,pass,12,Handheld,Release,left pelvic,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,213,101,HA,230000228000,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,218,115,HA,230000228001,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,460,967,HA,230000228002,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,250,164,HA,230000228003,pass,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,149,26,HA,230000228004,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,161,35,HA,230000228005,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,192,59,HA,230000228006,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,414,723,HA,230000228007,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,165,51,HA,230000228008,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,390,632,HA,230000228009,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,342,448,HA,230000228010,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,320,381,HA,230000228011,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,180,62,HA,230000228012,pass,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,222,117,HA,230000228013,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,442,854,HA,230000228014,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,193,73,HA,230000228015,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,199,84,HA,230000228016,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,203,90,HA,230000228017,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,322,380,HA,230000228018,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,189,61,HA,230000228019,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,195,77,HA,230000228020,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,226,121,HA,230000228021,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,206,95,HA,230000228022,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,245,168,HA,230000228023,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,239,139,HA,230000228024,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,302,294,HA,230000228025,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,302,253,HA,230000228026,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,260,190,HA,230000228027,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,365,495,HA,230000228028,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,190,67,HA,230000228029,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,382,640,HA,230000228030,pass,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,215,112,HA,230000228031,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,384,548,HA,230000228032,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,195,81,HA,230000228033,pass,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,330,392,HA,230000228034,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,391,663,HA,230000228035,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,201,84,HA,230000228036,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,278,230,HA,230000228037,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,392,650,HA,230000228038,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,185,62,HA,230000228039,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,359,432,HA,230000228040,pass,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,381,638,HA,230000228041,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,457,1016,HA,230000228042,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,485,1072,HA,230000228043,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,435,852,HA,230000228044,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,394,608,HA,230000228045,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,426,778,HA,230000228046,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,288,231,HA,230000228047,pass,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,242,139,HA,230000228048,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,372,409,HA,230000228049,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,238,132,HA,230000228050,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,273,196,HA,230000228051,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,394,580,HA,230000228052,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,192,79,HA,230000228053,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,221,109,HA,230000228054,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,173,43,HA,230000228055,,32,Handheld,Release,left pelvic + adp,1,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,187,67,HA,230000228056,pass,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,192,74,HA,230000228057,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,405,612,HA,230000228058,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,389,640,HA,230000228059,,32,Handheld,Release,left pelvic + adp,1,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,205,92,HA,230000228060,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,198,78,HA,230000228061,pass,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,193,71,HA,230000228062,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,272,223,HA,230000228063,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,197,83,HA,230000228064,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,235,134,HA,230000228065,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,381,545,HA,230000228066,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,302,297,HA,230000228067,pass,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,167,39,HA,230000228068,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,181,56,HA,230000228069,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,165,43,HA,230000228070,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,193,82,HA,230000228071,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,212,104,HA,230000228072,pass,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,378,588,HA,230000228073,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,268,98,HA,230000228074,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,453,847,HA,230000228075,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,375,540,HA,230000228076,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,349,427,HA,230000228077,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,279,207,HA,230000228078,pass,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,197,86,HA,230000228079,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,342,360,HA,230000228080,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,356,438,HA,230000228081,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,200,77,HA,230000228082,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,185,62,HA,230000228083,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,382,636,HA,230000228084,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,174,60,HA,230000228085,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,220,106,HA,230000228086,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,307,286,HA,230000228087,pass,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,177,58,HA,230000228088,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,203,95,HA,230000228089,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,201,88,HA,230000228090,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,362,486,HA,230000228091,pass,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,233,145,HA,230000228092,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,368,504,HA,230000228093,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,308,287,HA,230000228094,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,209,70,HA,230000228095,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,210,98,HA,230000228096,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,254,207,HA,230000228115,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,194,71,HA,230000228116,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,246,164,HA,230000228117,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,202,88,HA,230000228118,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,210,110,HA,230000228119,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,223,121,HA,230000228120,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,369,549,HA,230000228121,pass,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,238,152,HA,230000228122,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,224,126,HA,230000228123,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,204,90,HA,230000228124,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,296,252,HA,230000228125,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,211,88,HA,230000228126,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,194,77,HA,230000228127,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,229,121,HA,230000228128,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,213,115,HA,230000228129,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,192,72,HA,230000228130,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,220,108,HA,230000228131,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,223,131,HA,230000228132,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,405,647,HA,230000228133,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,208,98,HA,230000228134,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,265,207,HA,230000228135,,32,Handheld,Release,left pelvic + adp,0,black tail
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,208,99,HA,230000228136,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,438,883,HA,230000228137,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,138,29,HA,230000228138,pass,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,386,628,HA,230000228139,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,373,548,HA,230000228140,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,327,332,HA,230000228141,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,297,268,HA,230000228142,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,200,85,HA,230000228143,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,RBT,218,111,HA,230000228144,pass,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,373,512,HA,230000228145,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,430,789,HA,230000228146,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,399,620,HA,230000228147,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,197,88,HA,230000228148,,32,Handheld,Release,left pelvic + adp,0,
2,Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417231,4438604,LOC,199,81,HA,230000228149,,32,Handheld,Release,left pelvic + adp,0,
